#param	opt_value	std_err
N_A	15415.059915046315	16.515849092401055
T_NMH	546996.8965796516	738.5674868706291
N_N	2771.0283775761573	5.179449907208153
p	0.027076095792837526	0.00011852905474254881
T_EXP	378933.9091507155	3762.259595228196
N_AMH	21218.530512028054	64.90097774413505
T_OOA	77732.60330037928	292.316417649762
N_MSL	29834.507682538333	99.3867749476709
N_OOA	1203.1881022422917	8.967939634305159
N_GBR	10815.431453515072	99.27489458914305
m	4.360146476069048e-05	2.755976796434104e-07
p_misid	0.0223	0.0001239326191755319
