#param	opt_value	std_err
N_A	16742.35901110064	13.519162959548648
T_NMH	458886.24636214244	558.4404652975218
N_N	2480.52386324281	4.563772176872299
T_EXP	164194.77802909145	1399.0087708130804
N_AMH	38614.53259272072	608.7145866314639
T_OOA	66456.71360999506	455.0124051558643
N_MSL	21030.34930591267	100.13593155641414
N_OOA	1128.9488246650394	14.95740626752146
N_GBR	11845.32853426258	148.03288643017464
m	4.428397917061716e-05	3.071304158955198e-07
p_misid	0.0184577996085895	0.00011865327376676077
